word1,word2,combined,frequency
ರಾವ್,ಅವರ,ರಾವ್ಅವರ,low
ಕರೆಯಲಾಗುತ್ತದೆ,ಕೋಶದ್ರವದ,ಕರೆಯಲಾಗುತ್ತದೆಕೋಶದ್ರವದ,low
ಮತ್ತು,ಸಾಮಾನ್ಯವಾಗಿ,ಮತ್ತುಸಾಮಾನ್ಯವಾಗಿ,low
ವೆಬ್,ಗೆ,ವೆಬ್ಗೆ,low
ಗೆ,ಸಂಬಂಧಿಸಿದ,ಗೆಸಂಬಂಧಿಸಿದ,low
ಸಾಫ್ಟ್,ವೇರ್,ಸಾಫ್ಟ್ವೇರ್,low
ಗಳು,ಅಥವಾ,ಗಳುಅಥವಾ,low
ವರ್ಕ್,ಗಳು,ವರ್ಕ್ಗಳು,low
ಮಾಡಬಹುದು,ಮತ್ತು,ಮಾಡಬಹುದುಮತ್ತು,low
ಸಣ್ಣ,ಭಾಗವನ್ನು,ಸಣ್ಣಭಾಗವನ್ನು,low
ಭಾಗವನ್ನು,ರೂಪಿಸುತ್ತದೆ,ಭಾಗವನ್ನುರೂಪಿಸುತ್ತದೆ,low
ಎಂಬ,ಪದವನ್ನು,ಎಂಬಪದವನ್ನು,low
ಸಂಸ್ಥೆಗಳು,ಮತ್ತು,ಸಂಸ್ಥೆಗಳುಮತ್ತು,low
ಸಾಮಾನ್ಯ,ವೆಬ್,ಸಾಮಾನ್ಯವೆಬ್,low
ಉನ್ನತ,ಮಟ್ಟದ,ಉನ್ನತಮಟ್ಟದ,low
ಆನಿಯನ್,ರೂಟಿಂಗ್,ಆನಿಯನ್ರೂಟಿಂಗ್,low
ಕರೆಯಲ್ಪಡುವ,ಡಾರ್ಕ್,ಕರೆಯಲ್ಪಡುವಡಾರ್ಕ್,low
ಸೈಟ್,ಗಳನ್ನು,ಸೈಟ್ಗಳನ್ನು,low
ಬ್ರೌಸರ್,ಗಳು,ಬ್ರೌಸರ್ಗಳು,low
ಅನುವು,ಮಾಡಿಕೊಡುತ್ತದೆ,ಅನುವುಮಾಡಿಕೊಡುತ್ತದೆ,low
ನೆಟ್,ಬಳಕೆದಾರರ,ನೆಟ್ಬಳಕೆದಾರರ,low
ಎನ್,ಕ್ರಿಪ್ಶನ್,ಎನ್ಕ್ರಿಪ್ಶನ್,low
ಟ್ರ್ಯಾಕ್,ಮಾಡಲು,ಟ್ರ್ಯಾಕ್ಮಾಡಲು,low
ಮತ್ತು,ಅನಾಮಧೇಯತೆಯನ್ನು,ಮತ್ತುಅನಾಮಧೇಯತೆಯನ್ನು,low
ಗಳು,ತಮ್ಮ,ಗಳುತಮ್ಮ,low
ಟಾರ್,ನಲ್ಲಿ,ಟಾರ್ನಲ್ಲಿ,low
ಮಕ್ಕಳ,ಅಶ್ಲೀಲತೆ,ಮಕ್ಕಳಅಶ್ಲೀಲತೆ,low
ರಾನ್,ಸಮ್,ರಾನ್ಸಮ್,low
ಸಮ್,ವೇರ್,ಸಮ್ವೇರ್,low
ಹಲವಾರು,ಡಾರ್ಕ್,ಹಲವಾರುಡಾರ್ಕ್,low
ಬೋಟ್,ನೆಟ್ಸ್,ಬೋಟ್ನೆಟ್ಸ್,low
ಆಧಾರದ,ಮೇಲೆ,ಆಧಾರದಮೇಲೆ,low
ನೆಟ್,ಮಾರುಕಟ್ಟೆಗಳು,ನೆಟ್ಮಾರುಕಟ್ಟೆಗಳು,low
ಕಾಯಿನ್,ಅನ್ನು,ಕಾಯಿನ್ಅನ್ನು,low
ವೆಬ್,ಮಾರುಕಟ್ಟೆ,ವೆಬ್ಮಾರುಕಟ್ಟೆ,low
ಅವಕಾಶ,ಮಾಡಿಕೊಟ್ಟಿದೆ,ಅವಕಾಶಮಾಡಿಕೊಟ್ಟಿದೆ,low
ಎವಲ್ಯೂಷನ್,ನಲ್ಲಿ,ಎವಲ್ಯೂಷನ್ನಲ್ಲಿ,low
ಅಕ್ರಮ,ಔಷಧಿಗಳ,ಅಕ್ರಮಔಷಧಿಗಳ,low
ಕಾಯಿನ್,ಸೇವೆಗಳು,ಕಾಯಿನ್ಸೇವೆಗಳು,low
ಆನ್,ಲೈನ್,ಆನ್ಲೈನ್,low
ನೆಟ್,ಮಾರುಕಟ್ಟೆ,ನೆಟ್ಮಾರುಕಟ್ಟೆ,low
ಸೈಬರ್,ಕ್ರಿಮಿನಲ್,ಸೈಬರ್ಕ್ರಿಮಿನಲ್,low
ಮೇಲ್ವಿಚಾರಣೆ,ಮಾಡುವ,ಮೇಲ್ವಿಚಾರಣೆಮಾಡುವ,low
ಚಾಟ್,ಜಿಪಿಟಿ,ಚಾಟ್ಜಿಪಿಟಿ,low
ಮತ್ತು,ವಂಚನೆ,ಮತ್ತುವಂಚನೆ,low
೨೦೧೫,ರಲ್ಲಿ,೨೦೧೫ರಲ್ಲಿ,low
ಸಹಾಯ,ಮಾಡಲು,ಸಹಾಯಮಾಡಲು,low
ಮತ್ತು,ಇತರ,ಮತ್ತುಇತರ,low
ಅಶ್ಲೀಲತೆ,ಡಾರ್ಕ್,ಅಶ್ಲೀಲತೆಡಾರ್ಕ್,low
ಮಕ್ಕಳ,ಅಶ್ಲೀಲತೆಯನ್ನು,ಮಕ್ಕಳಅಶ್ಲೀಲತೆಯನ್ನು,low
ಸದಸ್ಯರನ್ನು,ಹೊಂದಿರುವ,ಸದಸ್ಯರನ್ನುಹೊಂದಿರುವ,low
ಎಂಬ,ವೆಬ್,ಎಂಬವೆಬ್,low
ಮಾಡುವ,ಮೂಲಕ,ಮಾಡುವಮೂಲಕ,low
೦೦,೦೦೦,೦೦೦೦೦,low
೦೦೦,ಕ್ಕೂ,೦೦೦ಕ್ಕೂ,low
ಅತಿದೊಡ್ಡ,ಮಕ್ಕಳ,ಅತಿದೊಡ್ಡಮಕ್ಕಳ,low
ಪ್ಲಾಟ್,ಫಾರ್ಮ್,ಪ್ಲಾಟ್ಫಾರ್ಮ್,low
ಸೈಟ್,ಗಳಿವೆ,ಸೈಟ್ಗಳಿವೆ,low
ಸಾಮಾಜಿಕ,ಮಾಧ್ಯಮ,ಸಾಮಾಜಿಕಮಾಧ್ಯಮ,low
ಸಾಮಾಜಿಕ,ನೆಟ್,ಸಾಮಾಜಿಕನೆಟ್,low
ಕುವೆಂಪು,ವಿಶ್ವವಿದ್ಯಾನಿಲಯ,ಕುವೆಂಪುವಿಶ್ವವಿದ್ಯಾನಿಲಯ,low
ವಿಶ್ವವಿದ್ಯಾನಿಲಯ,ಕರ್ನಾಟಕ,ವಿಶ್ವವಿದ್ಯಾನಿಲಯಕರ್ನಾಟಕ,low
ಕರ್ನಾಟಕ,ರಾಜ್ಯದಲ್ಲಿರುವ,ಕರ್ನಾಟಕರಾಜ್ಯದಲ್ಲಿರುವ,low
ರಾಜ್ಯದಲ್ಲಿರುವ,ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳಲ್ಲಿ,ರಾಜ್ಯದಲ್ಲಿರುವವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳಲ್ಲಿ,low
ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳಲ್ಲಿ,ಒಂದು,ವಿಶ್ವವಿದ್ಯಾನಿಲಯಗಳಲ್ಲಿಒಂದು,low
ಒಂದು,ಇದರ,ಒಂದುಇದರ,low
ಇದರ,ಧ್ಯೇಯವಾಕ್ಯ,ಇದರಧ್ಯೇಯವಾಕ್ಯ,low
ಧ್ಯೇಯವಾಕ್ಯ,ವಿಶ್ವಮಾನವ,ಧ್ಯೇಯವಾಕ್ಯವಿಶ್ವಮಾನವ,low
ವಿಶ್ವಮಾನವ,ಪರಿಕಲ್ಪನೆಯನ್ನು,ವಿಶ್ವಮಾನವಪರಿಕಲ್ಪನೆಯನ್ನು,low
ಪರಿಕಲ್ಪನೆಯನ್ನು,ಒಳಗೊಂಡಿದೆ,ಪರಿಕಲ್ಪನೆಯನ್ನುಒಳಗೊಂಡಿದೆ,low
ಒಳಗೊಂಡಿದೆ,ಮನುಜಮತ,ಒಳಗೊಂಡಿದೆಮನುಜಮತ,low
ಮನುಜಮತ,ವಿಶ್ವಪಥ,ಮನುಜಮತವಿಶ್ವಪಥ,low
ವಿಶ್ವಪಥ,ಸರ್ವೋದಯ,ವಿಶ್ವಪಥಸರ್ವೋದಯ,low
ಸರ್ವೋದಯ,ಸಮನ್ವಯ,ಸರ್ವೋದಯಸಮನ್ವಯ,low
ಸಮನ್ವಯ,ಪೂರ್ಣದೃಷ್ಠಿ,ಸಮನ್ವಯಪೂರ್ಣದೃಷ್ಠಿ,low
ಪೂರ್ಣದೃಷ್ಠಿ,ಎಂಬ,ಪೂರ್ಣದೃಷ್ಠಿಎಂಬ,low
ಎಂಬ,ಮಾತುಗಳೊಂದಿಗೆ,ಎಂಬಮಾತುಗಳೊಂದಿಗೆ,low
ಮಾತುಗಳೊಂದಿಗೆ,ಲಾಂಛನವನ್ನು,ಮಾತುಗಳೊಂದಿಗೆಲಾಂಛನವನ್ನು,low
ಲಾಂಛನವನ್ನು,ಮಾಡಲಾಗಿದೆ,ಲಾಂಛನವನ್ನುಮಾಡಲಾಗಿದೆ,low
ಮಾಡಲಾಗಿದೆ,ಪರಿಚಯ,ಮಾಡಲಾಗಿದೆಪರಿಚಯ,low
ವಿಶ್ವವಿದ್ಯಾನಿಲಯವನ್ನು,ಕನ್ನಡ,ವಿಶ್ವವಿದ್ಯಾನಿಲಯವನ್ನುಕನ್ನಡ,low
ಕನ್ನಡ,ಸಾಹಿತ್ಯಲೋಕದ,ಕನ್ನಡಸಾಹಿತ್ಯಲೋಕದ,low
ಸಾಹಿತ್ಯಲೋಕದ,ಅಗ್ರಗಣ್ಯರಲ್ಲೊಬ್ಬರಾದ,ಸಾಹಿತ್ಯಲೋಕದಅಗ್ರಗಣ್ಯರಲ್ಲೊಬ್ಬರಾದ,low
ಅಗ್ರಗಣ್ಯರಲ್ಲೊಬ್ಬರಾದ,ಜ್ಞಾನಪೀಠ,ಅಗ್ರಗಣ್ಯರಲ್ಲೊಬ್ಬರಾದಜ್ಞಾನಪೀಠ,low
ಜ್ಞಾನಪೀಠ,ಪ್ರಶಸ್ತಿ,ಜ್ಞಾನಪೀಠಪ್ರಶಸ್ತಿ,low
ಪ್ರಶಸ್ತಿ,ವಿಜೇತ,ಪ್ರಶಸ್ತಿವಿಜೇತ,low
ವಿಜೇತ,ರಾಷ್ಟ್ರಕವಿ,ವಿಜೇತರಾಷ್ಟ್ರಕವಿ,low
ರಾಷ್ಟ್ರಕವಿ,ಕುವೆಂಪು,ರಾಷ್ಟ್ರಕವಿಕುವೆಂಪು,low
ಕುವೆಂಪು,ಅವರ,ಕುವೆಂಪುಅವರ,low
ಅವರ,ಹೆಸರಿನಲ್ಲಿ,ಅವರಹೆಸರಿನಲ್ಲಿ,low
ಹೆಸರಿನಲ್ಲಿ,೧೯೮೭ನೇ,ಹೆಸರಿನಲ್ಲಿ೧೯೮೭ನೇ,low
೧೯೮೭ನೇ,ಇಸ್ವಿ,೧೯೮೭ನೇಇಸ್ವಿ,low
ಇಸ್ವಿ,ಜೂನ್,ಇಸ್ವಿಜೂನ್,low
ಜೂನ್,೨೯ರಂದು,ಜೂನ್೨೯ರಂದು,low
೨೯ರಂದು,ಪ್ರಾರಂಭಿಸಲಾಯಿತು,೨೯ರಂದುಪ್ರಾರಂಭಿಸಲಾಯಿತು,low
ಪ್ರಾರಂಭಿಸಲಾಯಿತು,ಇದರ,ಪ್ರಾರಂಭಿಸಲಾಯಿತುಇದರ,low
ಇದರ,ಮೊದಲ,ಇದರಮೊದಲ,low
ಮೊದಲ,ಕುಲಪತಿಗಳು,ಮೊದಲಕುಲಪತಿಗಳು,low
ಕುಲಪತಿಗಳು,ಲೇಖಕರಾದ,ಕುಲಪತಿಗಳುಲೇಖಕರಾದ,low
ಲೇಖಕರಾದ,ಶಾಂತಿನಾಥ,ಲೇಖಕರಾದಶಾಂತಿನಾಥ,low
ಶಾಂತಿನಾಥ,ದೇಸಾಯಿ,ಶಾಂತಿನಾಥದೇಸಾಯಿ,low
ದೇಸಾಯಿ,ಅವರು,ದೇಸಾಯಿಅವರು,low
ಅವರು,ಮಲೆನಾಡಿನ,ಅವರುಮಲೆನಾಡಿನ,low
ಮಲೆನಾಡಿನ,ಪ್ರಕೃತಿ,ಮಲೆನಾಡಿನಪ್ರಕೃತಿ,low
ಪ್ರಕೃತಿ,ಮಡಿಲಲ್ಲಿರುವ,ಪ್ರಕೃತಿಮಡಿಲಲ್ಲಿರುವ,low
ಮಡಿಲಲ್ಲಿರುವ,ಜ್ಞಾನ,ಮಡಿಲಲ್ಲಿರುವಜ್ಞಾನ,low
ಜ್ಞಾನ,ಸಹ್ಯಾದ್ರಿ,ಜ್ಞಾನಸಹ್ಯಾದ್ರಿ,low
ಸಹ್ಯಾದ್ರಿ,ಪ್ರಾಂಗಣದಲ್ಲಿ,ಸಹ್ಯಾದ್ರಿಪ್ರಾಂಗಣದಲ್ಲಿ,low
ವಿಶ್ಯವಿದ್ಯಾನಿಲಯ,ಸ್ಥಾಪಿತವಾಗಿದೆ,ವಿಶ್ಯವಿದ್ಯಾನಿಲಯಸ್ಥಾಪಿತವಾಗಿದೆ,low
ಪ್ರಾಂಗಣವು,ಭದ್ರಾ,ಪ್ರಾಂಗಣವುಭದ್ರಾ,low
ಭದ್ರಾ,ನದಿಯ,ಭದ್ರಾನದಿಯ,low
ನದಿಯ,ಹತ್ತಿರವಿದ್ದು,ನದಿಯಹತ್ತಿರವಿದ್ದು,low
ಹತ್ತಿರವಿದ್ದು,ಶಿವಮೊಗ್ಗದಿಂದ,ಹತ್ತಿರವಿದ್ದುಶಿವಮೊಗ್ಗದಿಂದ,low
ಶಿವಮೊಗ್ಗದಿಂದ,೨೮ಕಿ,ಶಿವಮೊಗ್ಗದಿಂದ೨೮ಕಿ,low
೨೮ಕಿ,ಮೀ,೨೮ಕಿಮೀ,low
ದೂರದಲ್ಲಿಯೂ,ಭದ್ರಾವತಿಯ,ದೂರದಲ್ಲಿಯೂಭದ್ರಾವತಿಯ,low
ಭದ್ರಾವತಿಯ,ಕೈಗಾರಿಕಾ,ಭದ್ರಾವತಿಯಕೈಗಾರಿಕಾ,low
ಕೈಗಾರಿಕಾ,ಪಟ್ಟಣದಿಂದ,ಕೈಗಾರಿಕಾಪಟ್ಟಣದಿಂದ,low
ಪಟ್ಟಣದಿಂದ,೧೮,ಪಟ್ಟಣದಿಂದ೧೮,low
ದೂರದಲ್ಲಿಯೂ,ಇರುವ,ದೂರದಲ್ಲಿಯೂಇರುವ,low
ಇರುವ,ಶಂಕರಘಟ್ಟ,ಇರುವಶಂಕರಘಟ್ಟ,low
ಶಂಕರಘಟ್ಟ,ಎಂಬ,ಶಂಕರಘಟ್ಟಎಂಬ,low
ಎಂಬ,ಗ್ರಾಮಕ್ಕೆ,ಎಂಬಗ್ರಾಮಕ್ಕೆ,low
ಗ್ರಾಮಕ್ಕೆ,ಹೊಂದಿಕೊಂಡಿದೆ,ಗ್ರಾಮಕ್ಕೆಹೊಂದಿಕೊಂಡಿದೆ,low
ಹೊಂದಿಕೊಂಡಿದೆ,ತರೀಕೆರೆಯಿಂದ,ಹೊಂದಿಕೊಂಡಿದೆತರೀಕೆರೆಯಿಂದ,low
ತರೀಕೆರೆಯಿಂದ,೧೮,ತರೀಕೆರೆಯಿಂದ೧೮,low
ಮೀ,ದೂರದಲ್ಲಿದೆ,ಮೀದೂರದಲ್ಲಿದೆ,low
ವಿಶ್ವವಿದ್ಯಾಲಯದ,ಕುರಿತಾದ,ವಿಶ್ವವಿದ್ಯಾಲಯದಕುರಿತಾದ,low
ಕುರಿತಾದ,ಗೀತೆಯನ್ನು,ಕುರಿತಾದಗೀತೆಯನ್ನು,low
ಗೀತೆಯನ್ನು,ಕನ್ನಡದ,ಗೀತೆಯನ್ನುಕನ್ನಡದ,low
ಕನ್ನಡದ,ಪ್ರೇಮ,ಕನ್ನಡದಪ್ರೇಮ,low
ಪ್ರೇಮ,ಕವಿ,ಪ್ರೇಮಕವಿ,low
ಕವಿ,ಎಂದೇ,ಕವಿಎಂದೇ,low
ಎಂದೇ,ಖ್ಯಾತರಾದ,ಎಂದೇಖ್ಯಾತರಾದ,low
ಖ್ಯಾತರಾದ,ಕೆ,ಖ್ಯಾತರಾದಕೆ,low
ಕೆ,ಎಸ್,ಕೆಎಸ್,low
ಎಸ್,ನರಸಿಂಹಸ್ವಾಮಿಯವರು,ಎಸ್ನರಸಿಂಹಸ್ವಾಮಿಯವರು,low
ನರಸಿಂಹಸ್ವಾಮಿಯವರು,ರಚಿಸಿದ್ದಾರೆ,ನರಸಿಂಹಸ್ವಾಮಿಯವರುರಚಿಸಿದ್ದಾರೆ,low
ರಚಿಸಿದ್ದಾರೆ,ಉಲ್ಲೇಖಗಳು,ರಚಿಸಿದ್ದಾರೆಉಲ್ಲೇಖಗಳು,low
ಆರೀಶಿ,ಕುಟುಂಬಕ್ಕೆ,ಆರೀಶಿಕುಟುಂಬಕ್ಕೆ,low
ಕುಟುಂಬಕ್ಕೆ,ಸೇರಿದ,ಕುಟುಂಬಕ್ಕೆಸೇರಿದ,low
ಸೇರಿದ,ಅಂತೂರಿಯಮ್,ಸೇರಿದಅಂತೂರಿಯಮ್,low
ಅಂತೂರಿಯಮ್,ಸುಂದರ,ಅಂತೂರಿಯಮ್ಸುಂದರ,low
ಸುಂದರ,ಎಲೆ,ಸುಂದರಎಲೆ,low
ಎಲೆ,ಹೂಗೊಂಚಲಿನ,ಎಲೆಹೂಗೊಂಚಲಿನ,low
ಹೂಗೊಂಚಲಿನ,ಅಲ೦ಕಾರ,ಹೂಗೊಂಚಲಿನಅಲ೦ಕಾರ,low
ಅಲ೦ಕಾರ,ಸಸ್ಯ,ಅಲ೦ಕಾರಸಸ್ಯ,low
ಸಸ್ಯ,ಬಾಲದಂತಿರುವ,ಸಸ್ಯಬಾಲದಂತಿರುವ,low
ಬಾಲದಂತಿರುವ,ಹೂಗೊಂಚಲು,ಬಾಲದಂತಿರುವಹೂಗೊಂಚಲು,low
ಹೂಗೊಂಚಲು,ಎಂಬುದು,ಹೂಗೊಂಚಲುಎಂಬುದು,low
ಪದದ,ಅರ್ಥ,ಪದದಅರ್ಥ,low
ಅರ್ಥ,ಇದರ,ಅರ್ಥಇದರ,low
ಇದರ,ಹೂ,ಇದರಹೂ,low
ಹೂ,ನಿಜವಾದ,ಹೂನಿಜವಾದ,low
ನಿಜವಾದ,ಹೂವಲ್ಲ,ನಿಜವಾದಹೂವಲ್ಲ,low
ಹೂವಲ್ಲ,ಅದೊಂದು,ಹೂವಲ್ಲಅದೊಂದು,low
ಅದೊಂದು,ಮಾರ್ಪಾಡಾದ,ಅದೊಂದುಮಾರ್ಪಾಡಾದ,low
ಮಾರ್ಪಾಡಾದ,ಎಲೆ,ಮಾರ್ಪಾಡಾದಎಲೆ,low
ಎಲೆ,ಹೂನಾಲಿಗೆ,ಎಲೆಹೂನಾಲಿಗೆ,low
ಹೂನಾಲಿಗೆ,ಎಂದು,ಹೂನಾಲಿಗೆಎಂದು,low
ಎಂದು,ಹೆಸರು,ಎಂದುಹೆಸರು,low
ಹೆಸರು,ಪಡೆದಿರುವ,ಹೆಸರುಪಡೆದಿರುವ,low
ಭಾಗ,೩೦,ಭಾಗ೩೦,low
೩೦,ಸೆ,೩೦ಸೆ,low
ಸೆ,ಮೀ,ಸೆಮೀ,low
ಮೀ,ಅಗಲವಿದ್ದು,ಮೀಅಗಲವಿದ್ದು,low
ಅಗಲವಿದ್ದು,ದಂಟಿಗೆ,ಅಗಲವಿದ್ದುದಂಟಿಗೆ,low
ದಂಟಿಗೆ,ಅಂಟಿಕೊಂಡಿರುತ್ತದೆ,ದಂಟಿಗೆಅಂಟಿಕೊಂಡಿರುತ್ತದೆ,low
ನಾಲಗೆಯೊಂದಿಗೆ,ಕ್ಯಾಂಡ್ಲ್,ನಾಲಗೆಯೊಂದಿಗೆಕ್ಯಾಂಡ್ಲ್,low
ಕ್ಯಾಂಡ್ಲ್,ಎಂಬ,ಕ್ಯಾಂಡ್ಲ್ಎಂಬ,low
ಎಂಬ,ಇನ್ನೊಂದು,ಎಂಬಇನ್ನೊಂದು,low
ಇನ್ನೊಂದು,ಆಕರ್ಷಕ,ಇನ್ನೊಂದುಆಕರ್ಷಕ,low
ಆಕರ್ಷಕ,ಬಣ್ಣವಿರುವ,ಆಕರ್ಷಕಬಣ್ಣವಿರುವ,low
ಬಣ್ಣವಿರುವ,ಭಾಗವಿದೆ,ಬಣ್ಣವಿರುವಭಾಗವಿದೆ,low
ಭಾಗವಿದೆ,ಜಾತಿಯನ್ನನುಸರಿಸಿ,ಭಾಗವಿದೆಜಾತಿಯನ್ನನುಸರಿಸಿ,low
ಜಾತಿಯನ್ನನುಸರಿಸಿ,ಇವುಗಳು,ಜಾತಿಯನ್ನನುಸರಿಸಿಇವುಗಳು,low
ಇವುಗಳು,ಬಿಳಿ,ಇವುಗಳುಬಿಳಿ,low
ಬಿಳಿ,ಹಸಿರು,ಬಿಳಿಹಸಿರು,low
ಹಸಿರು,ಕೇಸರಿ,ಹಸಿರುಕೇಸರಿ,low
ಕೇಸರಿ,ಕೆಂಪು,ಕೇಸರಿಕೆಂಪು,low
ಕೆಂಪು,ಮೊದಲಾದ,ಕೆಂಪುಮೊದಲಾದ,low
ಮೊದಲಾದ,ಆಕರ್ಷಕ,ಮೊದಲಾದಆಕರ್ಷಕ,low
ಆಕರ್ಷಕ,ಬಣ್ಣಗಳನ್ನು,ಆಕರ್ಷಕಬಣ್ಣಗಳನ್ನು,low
ಬಣ್ಣಗಳನ್ನು,ಹೊಂದಿರುತ್ತದೆ,ಬಣ್ಣಗಳನ್ನುಹೊಂದಿರುತ್ತದೆ,low
ಹೊಂದಿರುತ್ತದೆ,ಇದನ್ನು,ಹೊಂದಿರುತ್ತದೆಇದನ್ನು,low
ಇದನ್ನು,ಕತ್ತರಿಸಿ,ಇದನ್ನುಕತ್ತರಿಸಿ,low
ಕತ್ತರಿಸಿ,ಹೂದಾನಿಯಲ್ಲಿ,ಕತ್ತರಿಸಿಹೂದಾನಿಯಲ್ಲಿ,low
ಹೂದಾನಿಯಲ್ಲಿ,ಇಟ್ಟರೆ,ಹೂದಾನಿಯಲ್ಲಿಇಟ್ಟರೆ,low
ವಾರಗಳವರೆಗೆ,ಕೆಡುವುದಿಲ್ಲ,ವಾರಗಳವರೆಗೆಕೆಡುವುದಿಲ್ಲ,low
ಕೆಡುವುದಿಲ್ಲ,ಅಂತೋರಿಯಂ,ಕೆಡುವುದಿಲ್ಲಅಂತೋರಿಯಂ,low
ಅಂತೋರಿಯಂ,ಬೀಜೋತ್ಪಾದನೆ,ಅಂತೋರಿಯಂಬೀಜೋತ್ಪಾದನೆ,low
ಬೀಜೋತ್ಪಾದನೆ,ಅಂತೂರಿಯಮ್,ಬೀಜೋತ್ಪಾದನೆಅಂತೂರಿಯಮ್,low
ಅಂತೂರಿಯಮ್,ಸಸಿಗಳನ್ನು,ಅಂತೂರಿಯಮ್ಸಸಿಗಳನ್ನು,low
ಸಸಿಗಳನ್ನು,ಬೀಜದಿಂದ,ಸಸಿಗಳನ್ನುಬೀಜದಿಂದ,low
ಬೀಜದಿಂದ,ಕುಡಿ,ಬೀಜದಿಂದಕುಡಿ,low
ಕುಡಿ,ಸಸಿಗಳಿಂದ,ಕುಡಿಸಸಿಗಳಿಂದ,low
ಸಸಿಗಳಿಂದ,ಮತ್ತು,ಸಸಿಗಳಿಂದಮತ್ತು,low
ಮತ್ತು,ಅಂಗಾಶ,ಮತ್ತುಅಂಗಾಶ,low
ಅಂಗಾಶ,ಕಸಿ,ಅಂಗಾಶಕಸಿ,low
ಕಸಿ,ವಿಧಾನಗಳಿಂದ,ಕಸಿವಿಧಾನಗಳಿಂದ,low
ವಿಧಾನಗಳಿಂದ,ಉತ್ಪಾದಿಸಲಾಗುತ್ತದೆ,ವಿಧಾನಗಳಿಂದಉತ್ಪಾದಿಸಲಾಗುತ್ತದೆ,low
ಉತ್ಪಾದಿಸಲಾಗುತ್ತದೆ,ಕೃತಕ,ಉತ್ಪಾದಿಸಲಾಗುತ್ತದೆಕೃತಕ,low
ಕೃತಕ,ಪರಾಗ,ಕೃತಕಪರಾಗ,low
ಪರಾಗ,ಸ್ಪರ್ಶ,ಪರಾಗಸ್ಪರ್ಶ,low
